State,Region
Alabama,SouthEast
Arkansas,SouthWest
Connecticut,NorthEast
Delaware,NorthEast
Florida,SouthEast
Georgia,SouthEast
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Kentucky,SouthEast
Louisiana,SouthWest
Maine,NorthEast
Maryland,NorthEast
Massachusetts,NorthEast
Michigan,Midwest
Minnesota,Midwest
Mississippi,SouthEast
Missouri,Midwest
Nebraska,Midwest
New Hampshire,NorthEast
New Jersey,NorthEast
New York,NorthEast
North Carolina,SouthEast
North Dakota,Midwest
Ohio,Midwest
Oklahoma,SouthWest
Pennsylvania,NorthEast
Rhode Island,NorthEast
South Carolina,SouthEast
South Dakota,Midwest
Tennessee,SouthEast
Texas,SouthWest
Vermont,NorthEast
Virginia,SouthEast
West Virginia,SouthEast
Wisconsin,Midwest
Arizona,West
California,West
Colorado,West
Hawaii,West
Idaho,West
Montana,West
Nevada,West
New Mexico,West
Oregon,West
Utah,West
Washington,West
Wyoming,West
District of Columbia,NorthEast
